콘존ID,콘존길이,기점종점방향구분코드,시작노드ID,종료노드ID,차로수,노선번호,제한속도,노선구성순번,콘존명,버스전용차로유무,도로등급구분코드
0351CZE160,19160.00,E,0174,0171,2,0351,100.00,16,무주IC-금산IC,0,101
0351CZE170,11260.00,E,0171,0089,2,0351,100.00,17,금산IC-추부IC,0,101
0351CZE180,8440.00,E,0089,0105,2,0351,100.00,18,추부IC-남대전IC,0,101
0351CZE190,3290.00,E,0105,0106,2,0351,100.00,19,남대전IC-산내JC,0,101
0351CZE200,4140.00,E,0106,0107,4,0351,100.00,20,산내JC-판암IC,0,101
0351CZE210,1990.00,E,0107,0108,4,0351,100.00,21,판암IC-비룡JC,0,101
0351CZS010,4390.00,S,0334,0229,2,0351,100.00,21,북통영IC-통영IC,0,101
0351CZS020,10170.00,S,0335,0334,2,0351,100.00,20,동고성IC-북통영IC,0,101
0351CZS030,5170.00,S,0336,0335,2,0351,100.00,19,고성IC-동고성IC,0,101
0351CZS040,17230.00,S,0337,0336,2,0351,100.00,18,연화산IC-고성IC,0,101
0351CZS050,10930.00,S,0133,0337,2,0351,100.00,17,진주JC-연화산IC,0,101
0351CZS060,7510.00,S,0135,0133,2,0351,100.00,16,서진주IC-진주JC,0,101
0351CZS070,15490.00,S,0151,0135,2,0351,100.00,15,단성IC-서진주IC,0,101
0351CZS080,18580.00,S,0157,0151,2,0351,100.00,14,산청IC-단성IC,0,101
0351CZS090,7380.00,S,0159,0157,2,0351,100.00,13,생초IC-산청IC,0,101
0351CZS100,8330.00,S,0162,0159,2,0351,100.00,12,함양JC-생초IC,0,101
0351CZS110,6430.00,S,0163,0162,2,0351,100.00,11,지곡IC-함양JC,0,101
0351CZS120,13880.00,S,0164,0163,2,0351,100.00,10,서상IC-지곡IC,0,101
0351CZS130,9600.00,S,0184,0164,2,0351,100.00,9,장수JC-서상IC,0,101
0351CZS140,14460.00,S,0188,0184,2,0351,100.00,8,덕유산IC-장수JC,0,101
0351CZS150,16030.00,S,0174,0188,2,0351,100.00,7,무주IC-덕유산IC,0,101
0351CZS160,19160.00,S,0171,0174,2,0351,100.00,6,금산IC-무주IC,0,101
0351CZS170,11260.00,S,0089,0171,2,0351,100.00,5,추부IC-금산IC,0,101
0351CZS180,8440.00,S,0105,0089,2,0351,100.00,4,남대전IC-추부IC,0,101
0351CZS190,3290.00,S,0106,0105,2,0351,100.00,3,산내JC-남대전IC,0,101
0351CZS200,4140.00,S,0107,0106,4,0351,100.00,2,판암IC-산내JC,0,101
0351CZS210,1990.00,S,0108,0107,4,0351,100.00,1,비룡JC-판암IC,0,101
0352CZE280,6030.00,E,0067,0065,2,0352,110.00,1,남이JC-서청주IC,0,101
0352CZE290,7460.00,E,0065,0064,2,0352,110.00,2,서청주IC-오창IC,0,101
0352CZE300,3910.00,E,0064,0675,2,0352,110.00,3,오창IC-오창JC,0,101
